#Frame No	IDIAP	Vibe
1	3.950181	0.193456
2	3.958882	0.206947
3	4.913701	0.200524
4	4.181364	0.188925
5	3.949506	0.199146
6	3.948806	0.196051
7	3.986385	0.187857
8	4.268194	0.208562
9	4.166479	0.197081
10	4.204752	0.204699
11	3.975945	0.195219
12	3.963373	0.201375
13	3.973458	0.200520
14	3.967363	0.201618
15	3.987448	0.210192
16	3.972206	0.206076
17	4.091057	0.218986
18	3.978052	0.209832
19	3.983360	0.201775
20	3.974172	0.209821
21	3.989503	0.205029
22	3.994163	0.206465
23	3.990080	0.202134
24	3.993208	0.201490
25	4.006902	0.221770
26	3.990535	0.214785
27	4.005951	0.201886
28	4.000634	0.204508
29	4.005861	0.207372
30	4.004229	0.201939
31	4.012168	0.206385
32	4.418399	0.206335
33	4.378942	0.206237
34	4.192133	0.215409
35	4.020476	0.217536
36	4.016374	0.217585
37	4.048622	0.216810
38	4.006607	0.200427
39	4.028165	0.206134
40	4.028076	0.208112
41	4.034215	0.204383
42	4.029624	0.202913
43	4.046005	0.208627
44	4.042111	0.207756
45	4.044708	0.200589
46	4.034582	0.201855
47	4.051386	0.203701
48	4.049597	0.210042
49	4.049087	0.211011
50	4.042484	0.216288
51	4.060690	0.194431
52	4.037817	0.223247
53	4.038939	0.208211
54	4.032978	0.206939
55	4.046327	0.196127
56	4.031396	0.200423
57	4.037571	0.205827
58	4.036017	0.207876
59	4.044957	0.204108
60	4.037396	0.200234
61	4.026504	0.200432
62	4.038889	0.214879
63	4.031432	0.201152
64	4.032899	0.211887
65	4.024551	0.202653
66	4.051439	0.202882
67	4.026989	0.213909
68	4.034957	0.195913
69	4.028544	0.201980
70	4.048895	0.212301
71	4.032595	0.214017
72	4.030828	0.203947
73	4.035175	0.211150
74	4.037059	0.195675
75	4.039484	0.200250
76	4.031236	0.207011
77	4.029289	0.195903
78	4.038242	0.200165
79	4.034116	0.206235
80	4.040005	0.195486
81	4.041041	0.211060
82	4.039449	0.207722
83	4.021613	0.212107
84	4.040513	0.204229
85	4.029524	0.200176
86	4.035312	0.197245
87	4.023309	0.194010
88	4.049759	0.201301
89	4.026449	0.212434
90	4.031729	0.212605
91	4.031641	0.198813
92	4.040059	0.208617
93	4.035189	0.206468
94	4.032412	0.214180
95	4.040894	0.205097
96	4.039051	0.213021
97	4.031812	0.205725
98	4.035953	0.222117
99	4.137616	0.215310
100	4.036596	0.201015
101	4.027368	0.202093
102	4.033377	0.208896
103	4.027626	0.202621
104	4.034828	0.201145
105	4.023555	0.203261
106	4.036821	0.197258
107	4.031460	0.208214
108	4.032217	0.203578
109	4.027012	0.205245
110	4.051672	0.203775
111	4.032045	0.216333
112	4.027050	0.198722
113	4.031276	0.203536
114	4.030931	0.205917
115	4.034249	0.203836
116	4.026852	0.218089
117	4.037828	0.208423
118	4.029884	0.205700
119	4.037976	0.216342
120	4.029112	0.203550
121	4.043018	0.204829
122	4.028075	0.220102
123	4.032550	0.216355
124	4.027039	0.203579
125	4.047504	0.209637
126	4.028333	0.206928
127	4.033015	0.219283
128	4.135754	0.207949
129	4.037988	0.221100
130	4.032607	0.210846
131	4.030252	0.219734
132	4.030475	0.223397
133	4.042050	0.217804
134	4.026579	0.208871
135	4.029919	0.225722
136	4.029665	0.218498
137	4.037100	0.213933
138	4.030414	0.221063
139	4.050515	0.229072
140	4.031276	0.220563
141	4.034954	0.222440
142	4.022770	0.221508
143	4.149162	0.230717
144	4.037354	0.222701
145	4.038685	0.215163
146	4.026948	0.210324
147	4.039699	0.224141
148	4.030600	0.232873
149	4.035927	0.234793
150	4.023507	0.219811
151	4.038531	0.217474
152	4.028190	0.222384
153	4.149482	0.231254
154	4.034828	0.229837
155	4.044694	0.224191
156	4.041985	0.223183
157	4.036094	0.232149
158	4.026736	0.225349
159	4.042401	0.226802
160	4.028380	0.231394
161	4.043328	0.233580
162	4.029017	0.225482
163	4.038336	0.231615
164	4.031831	0.218767
165	4.030805	0.219686
166	4.029097	0.221374
167	4.041223	0.234336
168	4.040536	0.230438
169	4.036015	0.231062
170	4.035235	0.222932
171	4.043037	0.232629
172	4.025818	0.228561
173	4.037446	0.233955
174	4.032863	0.234163
175	4.042931	0.227375
176	4.028474	0.242239
177	4.038779	0.233413
178	4.038006	0.218141
179	4.037495	0.231283
180	4.033779	0.235846
181	4.048895	0.227838
182	4.040925	0.237404
183	4.043882	0.227681
