#Frame No	IDIAP	Vibe
1	0.375279	0.002004
2	0.372360	0.001738
3	0.372406	0.001816
4	0.368538	0.002078
5	0.373971	0.001558
6	0.366910	0.003016
7	0.390939	0.002265
8	0.379493	0.003259
9	0.377543	0.002120
10	0.382186	0.002019
11	0.385074	0.001996
12	0.386524	0.001952
13	0.379338	0.002732
14	0.376394	0.001991
15	0.386573	0.001963
16	0.377756	0.001643
17	0.378856	0.002142
18	0.378061	0.002777
19	0.378623	0.002011
20	0.382564	0.002113
21	0.382885	0.001892
22	0.379205	0.001966
23	0.382353	0.001995
24	0.383430	0.002880
25	0.370153	0.002008
26	0.387303	0.001892
27	0.374740	0.002145
28	0.373046	0.002008
29	0.376076	0.002224
30	0.377097	0.002130
31	0.360902	0.002013
32	0.367144	0.002013
33	0.380266	0.002098
34	0.375218	0.001986
35	0.387529	0.001576
36	0.381331	0.002079
37	0.378952	0.002113
38	0.376424	0.002010
39	0.376142	0.002009
40	0.376317	0.002160
41	0.383237	0.002144
42	0.374806	0.002858
43	0.378080	0.002068
44	0.378943	0.002021
45	0.379145	0.002148
46	0.375754	0.002012
47	0.379765	0.002080
48	0.386711	0.002000
49	0.398034	0.002176
50	0.385422	0.002042
51	0.380077	0.001913
52	0.375746	0.002126
53	0.376378	0.002603
54	0.375444	0.002006
55	0.373683	0.001898
56	0.367466	0.002066
57	0.379186	0.002162
58	0.384983	0.001998
59	0.386137	0.002902
60	0.378632	0.001875
61	0.388641	0.001599
62	0.380087	0.002432
63	0.398530	0.001687
64	0.374172	0.002149
65	0.380287	0.001978
66	0.379789	0.002045
67	0.376805	0.001976
68	0.379984	0.002045
69	0.378326	0.001908
70	0.372189	0.002130
71	0.379653	0.001958
72	0.375456	0.001532
73	0.377741	0.002526
74	0.390649	0.001485
75	0.372878	0.001849
76	0.371333	0.002013
77	0.374325	0.001957
78	0.370945	0.002090
79	0.376249	0.001973
80	0.378048	0.001972
81	0.376879	0.001966
82	0.376383	0.001962
83	0.378721	0.001970
84	0.382110	0.001963
85	0.387269	0.001895
86	0.368791	0.001821
87	0.388995	0.002444
88	0.370197	0.002214
89	0.376462	0.002100
90	0.377445	0.001634
91	0.380683	0.001972
92	0.387255	0.002126
93	0.372472	0.002088
94	0.373406	0.002782
95	0.375665	0.001893
96	0.376978	0.001566
97	0.376127	0.002404
98	0.374167	0.001935
99	0.381346	0.002538
100	0.395754	0.002011
101	0.369491	0.002050
102	0.371141	0.002028
103	0.379223	0.002001
104	0.381029	0.002135
105	0.376286	0.002128
106	0.367419	0.001951
107	0.383699	0.002055
108	0.387225	0.001698
109	0.376363	0.002947
110	0.381144	0.001869
111	0.395851	0.002083
112	0.376476	0.002030
113	0.374614	0.002055
114	0.388272	0.001963
115	0.377628	0.001984
116	0.379325	0.002580
117	0.390201	0.002138
118	0.381251	0.001987
119	0.377410	0.002680
120	0.392975	0.001877
121	0.380431	0.001838
122	0.375945	0.002831
123	0.379297	0.002037
124	0.382607	0.002165
125	0.376891	0.002205
126	0.381480	0.002105
127	0.389867	0.002043
128	0.384818	0.001744
129	0.387300	0.003084
130	0.385015	0.001753
131	0.378833	0.002091
132	0.379969	0.002080
133	0.389302	0.002127
134	0.378469	0.002063
135	0.383686	0.002151
136	0.379549	0.002275
137	0.387669	0.002057
138	0.372077	0.002213
139	0.384526	0.002162
140	0.387707	0.002003
141	0.383196	0.002518
142	0.376484	0.002075
143	0.381012	0.002033
144	0.376999	0.002072
145	0.380020	0.002130
146	0.379699	0.002127
147	0.378579	0.002499
148	0.381129	0.002175
149	0.376327	0.002540
150	0.381758	0.002089
151	0.377099	0.002317
152	0.387003	0.002611
153	0.383184	0.001762
154	0.381989	0.002425
155	0.379458	0.002134
156	0.381381	0.002333
157	0.381499	0.002030
158	0.382525	0.002276
159	0.380211	0.001907
160	0.381540	0.002489
161	0.383042	0.002256
162	0.377031	0.002608
163	0.391748	0.002140
164	0.379366	0.002316
165	0.384850	0.002122
166	0.389462	0.002784
167	0.381089	0.001983
168	0.384158	0.002738
169	0.389227	0.002242
170	0.381244	0.002168
171	0.383210	0.002218
172	0.380077	0.002159
173	0.380317	0.002358
174	0.380285	0.002711
175	0.379791	0.002184
176	0.377162	0.002180
177	0.381600	0.002288
178	0.387427	0.001819
179	0.388496	0.002424
180	0.385456	0.002722
181	0.385889	0.002256
182	0.390376	0.002409
183	0.380170	0.002236
184	0.379841	0.002256
185	0.382640	0.002879
186	0.386484	0.002265
187	0.387387	0.002304
188	0.382149	0.002238
189	0.392410	0.002271
190	0.390785	0.002244
191	0.386472	0.002272
192	0.381693	0.002025
193	0.379011	0.002604
194	0.392213	0.002333
195	0.395383	0.002336
196	0.380412	0.002265
197	0.382503	0.002249
198	0.382298	0.002363
199	0.387331	0.002288
200	0.378400	0.002885
201	0.380056	0.002270
202	0.377193	0.002191
203	0.386083	0.002252
204	0.388609	0.002359
205	0.379802	0.002427
206	0.382016	0.002383
207	0.384705	0.002327
208	0.391370	0.002421
209	0.383502	0.002271
210	0.381136	0.002427
211	0.382715	0.002450
212	0.383429	0.002197
213	0.383202	0.002297
214	0.380486	0.002239
215	0.386578	0.002372
216	0.394516	0.002294
217	0.390890	0.002308
218	0.380713	0.002298
219	0.389066	0.002273
220	0.389937	0.002244
221	0.382553	0.002619
222	0.380709	0.003088
223	0.383542	0.002337
224	0.384496	0.002357
225	0.379746	0.002272
226	0.382100	0.002298
227	0.381527	0.002301
228	0.378861	0.002335
229	0.380982	0.001914
230	0.381588	0.002528
231	0.385544	0.002957
232	0.384349	0.002298
233	0.386743	0.002369
234	0.383423	0.002369
235	0.379211	0.002289
236	0.385830	0.002293
237	0.382497	0.002170
238	0.379170	0.002354
239	0.382369	0.002491
240	0.394015	0.002365
241	0.380083	0.002281
242	0.382468	0.002334
243	0.387771	0.002390
244	0.383433	0.002341
245	0.385987	0.001897
246	0.383535	0.003267
247	0.387393	0.002313
248	0.383136	0.002297
249	0.381595	0.002510
250	0.381509	0.002282
251	0.385759	0.002342
252	0.386286	0.002253
253	0.380315	0.002370
254	0.382055	0.002339
255	0.385334	0.001868
256	0.382903	0.002206
257	0.381789	0.002903
258	0.389516	0.002274
259	0.384671	0.002305
260	0.384893	0.003030
261	0.376848	0.002221
262	0.381800	0.002136
263	0.379976	0.002321
264	0.383423	0.002358
265	0.381551	0.002638
266	0.393140	0.002881
267	0.383197	0.002326
268	0.382050	0.002527
269	0.385224	0.001993
270	0.380312	0.002319
271	0.391258	0.003295
272	0.383847	0.002428
273	0.377510	0.003074
274	0.368905	0.002260
275	0.375157	0.002555
276	0.374082	0.002221
277	0.379756	0.002295
278	0.381274	0.002655
279	0.382636	0.001974
280	0.380600	0.002767
281	0.391205	0.002264
282	0.388061	0.002316
283	0.381336	0.002213
284	0.396694	0.001940
285	0.387671	0.002692
286	0.389986	0.002325
287	0.378888	0.002492
288	0.386192	0.002586
289	0.383820	0.002197
290	0.385272	0.002329
291	0.380483	0.002419
292	0.403059	0.002178
293	0.388088	0.002867
294	0.386931	0.002331
295	0.378851	0.002412
296	0.380843	0.002558
297	0.395289	0.002215
298	0.381549	0.002791
299	0.384686	0.002181
300	0.379658	0.002379
301	0.385559	0.002491
302	0.390127	0.002530
303	0.379419	0.002583
304	0.380132	0.002321
305	0.378596	0.002387
306	0.381529	0.002234
307	0.381138	0.002357
308	0.374834	0.001986
309	0.382134	0.003064
310	0.429589	0.002282
311	0.414174	0.002335
312	0.386826	0.002289
313	0.377088	0.002404
314	0.393003	0.002778
315	0.380909	0.002520
316	0.379169	0.002434
317	0.394295	0.002573
318	0.397124	0.002603
319	0.381760	0.002560
320	0.391148	0.002112
321	0.384917	0.002365
322	0.380683	0.002669
323	0.392624	0.002329
324	0.380654	0.002555
325	0.384560	0.002413
326	0.384714	0.002705
327	0.385344	0.002187
328	0.383264	0.002729
329	0.383717	0.002546
330	0.387580	0.002417
331	0.382047	0.002448
332	0.411754	0.002685
333	0.381989	0.002463
334	0.387036	0.002356
335	0.383383	0.002792
336	0.391538	0.002160
337	0.389335	0.002495
338	0.383817	0.002563
339	0.379760	0.002490
340	0.385661	0.001928
341	0.378596	0.002387
342	0.380245	0.002367
343	0.401958	0.002251
344	0.387267	0.002038
345	0.381358	0.002709
346	0.388047	0.002277
347	0.383148	0.002340
348	0.379857	0.002443
349	0.393471	0.002485
350	0.381678	0.002649
351	0.388035	0.002002
352	0.395666	0.002323
353	0.388442	0.002476
354	0.398386	0.002438
355	0.384190	0.002033
356	0.380415	0.002726
357	0.416490	0.002269
358	0.391346	0.002606
359	0.396406	0.002412
360	0.394853	0.002377
361	0.388959	0.002402
362	0.392781	0.002314
363	0.385813	0.002392
364	0.388707	0.001969
365	0.435228	0.002758
366	0.413662	0.002330
367	0.382893	0.002314
368	0.406090	0.002198
369	0.383865	0.002328
370	0.427517	0.002270
371	0.391473	0.002384
372	0.401345	0.002302
373	0.383743	0.002322
374	0.385195	0.002296
375	0.398083	0.001878
376	0.380284	0.002590
377	0.392641	0.002243
378	0.392449	0.002207
379	0.396215	0.002475
380	0.380594	0.002415
381	0.381784	0.002414
382	0.386512	0.002985
383	0.381544	0.002393
384	0.404504	0.002324
385	0.396764	0.002357
386	0.397108	0.002413
387	0.403670	0.002919
388	0.404501	0.002361
389	0.387141	0.001975
390	0.389401	0.002746
391	0.398347	0.003036
392	0.398325	0.002377
393	0.405287	0.002196
394	0.394119	0.002044
395	0.381106	0.002491
396	0.391323	0.002385
397	0.398356	0.002371
398	0.374671	0.002460
399	0.388270	0.002730
400	0.412306	0.002327
401	0.372535	0.002492
402	0.407444	0.003175
403	0.400968	0.002408
404	0.384997	0.002372
405	0.384009	0.002362
406	0.388139	0.001970
407	0.388995	0.002434
408	0.388869	0.002373
409	0.420471	0.002475
410	0.385010	0.002434
411	0.385187	0.001950
412	0.399783	0.002470
413	0.394518	0.003115
414	0.383682	0.002367
415	0.388413	0.002441
416	0.393134	0.002938
417	0.385048	0.002356
418	0.429233	0.002467
419	0.392231	0.002434
420	0.400958	0.002360
421	0.406133	0.002113
422	0.386204	0.002359
423	0.388470	0.002358
424	0.397199	0.002257
425	0.398360	0.002102
426	0.418770	0.002922
427	0.400149	0.002569
428	0.405031	0.002284
429	0.435328	0.002352
430	0.389617	0.002586
431	0.383829	0.002491
432	0.383832	0.002063
433	0.381167	0.002574
434	0.415598	0.003073
435	0.398906	0.002344
436	0.398317	0.002359
437	0.394846	0.002937
438	0.397235	0.002053
439	0.410060	0.002463
440	0.392826	0.002315
441	0.404380	0.002103
442	0.401003	0.002465
443	0.401410	0.002317
444	0.394237	0.002320
445	0.409619	0.002377
446	0.397918	0.003058
447	0.411041	0.002123
448	0.424138	0.002275
449	0.420395	0.002629
450	0.403303	0.002305
451	0.386159	0.001966
452	0.384242	0.003166
453	0.381637	0.002340
454	0.390817	0.002333
455	0.387242	0.002447
456	0.387990	0.002066
457	0.398847	0.002505
458	0.394651	0.002328
459	0.413415	0.002357
460	0.415790	0.002367
461	0.406252	0.002734
462	0.400083	0.002120
463	0.413657	0.002526
464	0.395419	0.002670
465	0.394862	0.002385
466	0.390504	0.002540
467	0.397300	0.002422
468	0.410340	0.002563
469	0.397499	0.002103
470	0.398738	0.002771
471	0.402594	0.002356
472	0.390504	0.002586
473	0.385328	0.002325
474	0.402822	0.002167
475	0.389748	0.002438
476	0.394985	0.002664
477	0.391415	0.002360
478	0.388945	0.002337
479	0.387401	0.002420
480	0.396749	0.002384
481	0.398024	0.002936
482	0.395634	0.002376
483	0.398266	0.002368
484	0.405403	0.002887
485	0.414256	0.001927
486	0.390934	0.002361
487	0.408846	0.002351
488	0.422208	0.002267
489	0.402317	0.002442
490	0.387647	0.001888
491	0.389243	0.002406
492	0.386784	0.002304
493	0.395005	0.002668
494	0.392633	0.002207
495	0.387678	0.002870
496	0.385876	0.002417
497	0.398143	0.002425
