1	77	87	
2	62      94
3	66      95
4	63	95
5	61      96
6	65      94
7	57      97
8	43      97
9	27      96
10	0       97
11	33      95
12	45      97
13	56      99
14	67      98
15	70      97
16	82      94
17	73      95
18	71      95
19	66      94
20	59      95
21	47      97
22	35      99
23	0       97
24	36      98
25	53      96
26	59      98
27	64      98
28	82      97
29	73      91
30	80      102
31	75      97
32	76      97
33	73      97
34	59      91
35	47      93
36	34      93
37	0       96
